Document Name,References,Type
DoDD 5030.19,"['DoDD 5144.02', 'DoDI 3115.14', 'DoDI 4151.19', 'DoDI 5105.18', 'Code of Federal Regulations, Title 32', 'Defense Acquisition University', 'Executive Order 11161', 'Executive Order 11858', 'Executive Order 14028', 'Federal Radionavigation Plan', 'National Security Memorandum 8', 'National Security Presidential Directive-47/Homeland Security Presidential Directive-16', 'National Strategy for Aviation Security', 'National Strategy for Information Sharing', 'North Atlantic Treaty Organization Document AC/92(ATMCNS)D(2020)0002', 'Public Law 115-232', 'Space Policy Directive 7', 'United States Code, Title 10', 'United States Code, Title 49, Section 44718']",Root Reference
DoDI 5105.18,"['DoDD 5015.2', 'DoDD 5105.18', 'DoDD 5105.53', 'DoDI 5105.04', 'DoDI 5330.03', 'Chapter 38 of title 10', 'DoD 5200.1-R']",Sub-Reference
DoDD 5105.84,"['DoDD 5100.01', 'DoDD 5101.01', 'DoDD 5205.07', 'DoDI 4000.19', 'DoDI 5000.75', 'DoDI 5025.01', 'DoDI 5025.13', 'DoDI 8910.01', 'Administrative Instruction 102', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'United States Code, Title 10', 'United States Code, Title 5', 'United States Code, Title 50, Section 3097']",Sub-Reference
DoDD 5124.02,"['DoDD 1322.18', 'DoDD 3200.15', 'DoDD 5101.01', 'DoDD 5124.02', 'DoDD 5124.08', 'DoDD 5124.10', 'DoDD 5124.11', 'DoDD 5136.01', 'DoDD 5160.', 'DoDD 7730.65', 'DoDI 5025.01', 'DoDI 8320.02', 'DoDI 8910.01', 'David L. Boren National Security Education Act of 1991 (50 U.S.C. 1901 et seq.)', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Executive Order 13150', 'Public Law 110-181', 'Title 10', 'Title 20', 'Title 37', 'Title 38', 'Title 5', 'Uniformed and Overseas Citizens Absentee Voting Act (52 U.S.C. 20301 et seq.)']",Sub-Reference
DoDD 5134.09,"['DoDD 2060.01', 'DoDD 5100.01', 'DoDD 5205.07', 'DoDD 5205.16', 'DoDD 5230.11', 'DoDI 1400.25', 'DoDI 1400.25', 'DoDI 4000.19', 'DoDI 4160.28', 'DoDI 5000.66', 'DoDI 5015.02', 'DoDI 5025.01', 'DoDI 5105.04', 'DoDI 5105.18', 'DoDI 5200.02', 'DoDI 5200.08', 'DoDI 5200.39', 'DoDI 5230.29', 'DoDI 5530.03', 'DoDI 8910.01', 'DoDM 5200.02', 'Assistant Deputy Chief Management Officer Memorandum', 'Code of Federal Regulations, Title 5', 'Defense Federal Acquisition Regulation Supplement', 'Defense Security Cooperation Agency Manual 5105.38-M', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Directive-type Memorandum 20-002', 'DoD 7000.14-R', 'Executive Order 10450', 'Executive Order 12333', 'Executive Order 12968', 'Federal Acquisition Regulation', 'Federal Management Regulation 102-75.', 'Joint Travel Regulations', 'Office of the Chairman of the Joint Chiefs of Staff', 'Secretary of Defense Memorandum', 'United States Code, Title 10', 'United States Code, Title 22', 'United States Code, Title 31, Section 1535', 'United States Code, Title 37, Section 455', 'United States Code, Title 44', 'United States Code, Title 5']",Sub-Reference
DoDD 5134.20E,"['DoDD 5000.01', 'DoDD 5134.09', 'DoDD 5137.02', 'DoDI 5000.02', 'DoDI 5000.73', 'DoDI 5000.85', 'DoDI 5000.88', 'DoDI 5015.02', 'DoDI 5025.01', 'DoDM 8180.01', 'Code of Federal Regulations, Title 36', 'Deputy Secretary of Defense Memorandum', 'Joint Publication 3-01', 'Joint Requirements Oversight Council Memorandum 094-21', ""Missile Defense Agency 'Systems Engineering Plan (SEP)"", 'Missile Defense Agency Instruction 5013.02-INS', 'Office of the Chairman of the Joint Chiefs of Staff', 'Office of the Secretary of Defense', 'Office of the Secretary of Defense', 'Office of the Secretary of Defense', 'Office of the Secretary of Defense', 'Public Law 111-84', 'Public Law 114-328', 'Public Law 115-232', 'Public Law 115-91', 'United States Code, Title 10', 'United States Code, Title 44']",Root Reference
DoDD 5135.02,"['DoDD 1100.4', 'DoDD 2060.02', 'DoDD 5000.01', 'DoDD 5100.01', 'DoDD 5101.1', 'DoDD 5105.62', 'DoDD 5111.13', 'DoDD 5134.08', 'DoDD 5137.02', 'DoDD 5205.07', 'DoDD 5230.11', 'DoDI 2040.02', 'DoDI 4000.19', 'DoDI 5000.02', 'DoDI 5025.01', 'DoDI 5230.28', 'DoDI 8910.01', 'DoDM 5200.01', 'Administrative Instruction 102', 'Code of Federal Regulations, Title 15', 'Department of Defense Strategy for Countering Weapons of Mass Destruction', 'Deputy Secretary of Defense Memorandum', 'Executive Order 10485', 'Executive Order 10789', 'Executive Order 12038', 'Executive Order 12260', 'Executive Order 12580', 'Executive Order 12626', 'Executive Order 12742', 'Executive Order 12777', 'Executive Order 12931', 'Executive Order 13834', 'Executive Order 13891', 'Federal Acquisition Regulation', 'Memorandum of Understanding Between the Department of the Defense and the Department of the Interior', 'Office of Management and Budget Circular No. A-109', 'Office of Management and Budget Circular No. A-76', 'Public Law 101-510', 'Public Law 101-510', 'Public Law 102-484', 'Public Law 105-270', 'Public Law 107-107', 'Public Law 108-458', 'Public Law 110-181', 'Public Law 113-291', 'Public Law 116-92', 'Public Law 85-804', 'Public Law 95-619', 'United States Code, Title 10', 'United States Code, Title 19', 'United States Code, Title 22', 'United States Code, Title 3, Section 301', 'United States Code, Title 31, Section 1126', 'United States Code, Title 33', 'United States Code, Title 35', 'United States Code, Title 40, Section 501', 'United States Code, Title 41', 'United States Code, Title 42', 'United States Code, Title 44, Section 3554', 'United States Code, Title 5', 'United States Code, Title 50']",Sub-Reference
DoDD 5137.02,"['DoDD 5100.01', 'DoDD 5101.01', 'DoDD 5135.02', 'DoDD 5205.07', 'DoDD 5230.11', 'DoDI 1025.09', 'DoDI 3204.01', 'DoDI 3216.02', 'DoDI 4000.19', 'DoDI 5025.01', 'DoDI 5200.01', 'DoDI 8910.01', 'DoDM 5200.01', 'Acting Under Secretary of Defense for Acquisition', 'Administrative Instruction 102', 'Code of Federal Regulations, Title 32', 'Code of Federal Regulations, Title 45', 'Defense Innovation Board Charter', 'Defense Science Board Charter', 'Deputy Secretary of Defense Memorandum', 'DoD 7000.14-R', 'Executive Order 10789', 'Executive Order 13526', 'Executive Order 13891', 'Office of Management and Budget Circular A-131', 'Public Law 103-337', 'Public Law 114-328', 'Public Law 115-91', 'Public Law 82-414', 'Public Law 85-804', 'Public Law 92-463', 'United States Code, Title 10', 'United States Code, Title 35', 'United States Code, Title 5']",Sub-Reference
DoDD 5141.02,"['DoDD 1322.18', 'DoDD 2000.', 'DoDD 3100.10', 'DoDD 3200.15', 'DoDD 3216.02', 'DoDD 5105.71', 'DoDD 5134.9', 'DoDD 5141.2', 'DoDI 5000.02', 'DoDI 5025.01', 'DoDI 8910.01', 'Chairman of the Joint Chiefs of Staff Instruction 3170.01F', 'Sections 113']",Sub-Reference
DoDD 5143.01,"['DoDD 1200.17', 'DoDD 1400.35', 'DoDD 5100.01', 'DoDD 5101.01', 'DoDD 5106.01', 'DoDD 5122.05', 'DoDD 5143.01', 'DoDD 5144.02', 'DoDD 5148.13', 'DoDD 5160.', 'DoDD 5200.43', 'DoDD 5205.', 'DoDD 5205.', 'DoDD 5205.07', 'DoDD 5205.12', 'DoDD 5205.16', 'DoDD 5240.01', 'DoDD 5250.01', 'DoDD 7045.20', 'DoDD 8521.', ""DoDD S-3325.09 'Oversight Management"", 'DoDD S-5200.37', 'DoDD S-5210.36', 'DoDI 1000.17', 'DoDI 1400.36', 'DoDI 4000.19', 'DoDI 5025.01', 'DoDI 5530.03', 'DoDI 7050.03', 'DoDI 8330.01', 'DoDI 8910.01', 'DoDI S-3200.17', 'DoDM 5200.01', 'DoDM 5200.01', 'DoDM 5240.01', 'Acting Secretary of Defense Memorandum', 'Administrative Instruction 102', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'Deputy Secretary of Defense Memorandum', 'DoD 5240.1-R', 'Executive Order 12333', 'Executive Order 12829', 'Executive Order 12968', 'Executive Order 12977', 'Executive Order 13388', 'Executive Order 13467', 'Executive Order 13470', 'Executive Order 13526', 'Executive Order 13549', 'Executive Order 13556', 'Executive Order 13587', 'Executive Order 13869', 'Executive Order 13891', 'Federal Information Processing Standards Publication 201-2', 'Homeland Security Presidential Directive-12', 'Inspector General Act of 1978', 'Intelligence Community Directive 304', 'Intelligence Community Directive 310', 'Memorandum of Agreement between Secretary of Defense and Director of National Intelligence', 'National Disclosure Policy-1', 'Office of Personnel Management Memorandum', 'Office of the Chairman of the Joint Chiefs of Staff', 'Presidential Memorandum', 'Public Law 108-458', 'Public Law 110-181', 'Public Law 113-66', 'Public Law 115-91', 'Public Law 116-92', 'Secretary of Defense Memorandum', 'Title 10', 'Title 18', 'Title 5', 'Title 50']",Sub-Reference
DoDD 5144.02,"['DoDD 5101.1', 'DoDD 5105.19', 'DoDD 5144.02', 'DoDD 5530.3', 'DoDD 8000.01', 'DoDI 5025.01', 'DoDI 8500.01', 'DoDI 8550.01', 'DoDI 8910.01', 'Deputy Secretary of Defense Memorandum', 'Executive Order 12333', 'Executive Order 13231', 'Executive Order 13618', 'National Security Directive 42', 'Public Law 107-347', 'Public Law 113-66', 'Secretary of Defense Memorandum', 'Title 10', 'Title 40', 'Title 44']",Sub-Reference (Shared)
DoDM 8180.01,"['DoDD 5144.02', 'DoDD 5400.07', 'DoDD 8000.01', 'DoDI 3020.42', 'DoDI 5000.02', 'DoDI 5015.02', 'DoDI 5400.11', 'Chairman of the Joint Chiefs of Staff Manual 5760.01A', 'Code of Federal Regulations, Title 36', 'Directive-Type Memorandum-22-001', 'DoD Chief Information Officer Memorandum', 'DoD Chief Information Officer Memorandum', 'DoD Chief Information Officer Memorandum', 'DoD Chief Information Officer Memorandum', 'Federal Continuity Directive 1', 'Intelligence Community Technical Specification', 'International Organization for Standardization 14721:2012', 'International Organization for Standardization 15489-1:2016', 'International Organization for Standardization 23081-2:2009', 'National Archives and Records Administration', 'National Archives and Records Administration', 'National Archives and Records Administration', 'National Archives and Records Administration', 'National Archives and Records Administration Bulletin 2014-02', 'National Archives and Records Administration Bulletin 2015-04', 'National Information Exchange Model Executive Steering Council', 'National Institute of Standards and Technology', 'Office of the Program Manager', 'United States Code, Title 44, Section 3552', 'United States Code, Title 5']",Sub-Reference
DoDI 8500.01,"['DoDD 3020.26', 'DoDD 3020.40', 'DoDD 5000.01', 'DoDD 5100.20', 'DoDD 5105.53', 'DoDD 5134.01', 'DoDD 5144.02', 'DoDD 5205.', 'DoDD 5230.11', 'DoDD 5230.20', 'DoDD 5505.', 'DoDD 5530.3', 'DoDD 7045.14', 'DoDD 8000.01', 'DoDD 8115.01', 'DoDD 8140.01', 'DoDD 8500.01', 'DoDD 8521.', 'DoDD C-5200.19', 'DoDI 1035.01', 'DoDI 1100.22', 'DoDI 1400.25', 'DoDI 2030.08', 'DoDI 2040.02', 'DoDI 3200.12', 'DoDI 5000.02', 'DoDI 5000.64', 'DoDI 5015.02', 'DoDI 5134.16', 'DoDI 5134.17', 'DoDI 5200.01', 'DoDI 5200.39', 'DoDI 5200.44', 'DoDI 5205.13', 'DoDI 5230.09', 'DoDI 5230.27', 'DoDI 5240.26', 'DoDI 5400.16', 'DoDI 8010.01', 'DoDI 8100.04', 'DoDI 8170.01', 'DoDI 8320.02', 'DoDI 8320.07', 'DoDI 8330.01', 'DoDI 8500.2', 'DoDI 8510.01', 'DoDI 8520.02', 'DoDI 8520.03', 'DoDI 8523.01', 'DoDI 8530.01', 'DoDI 8540.01', 'DoDI 8551.01', 'DoDI 8552.01', 'DoDI 8560.01', 'DoDI 8580.1', 'DoDI 8582.01', 'DoDM 5200.01', 'DoDM 5200.01', 'DoDM 5200.01', 'DoDM 5200.01', 'DoDM 5200.02', 'DoDM 5205.02', 'DoDM 8570.01', 'Assistant Secretary of Defense for Networks and Information Integration/DoD Chief Information Officer', 'Assistant Secretary of Defense for Networks and Information Integration/DoD Chief Information Officer Memorandum', 'Assistant Secretary of Defense for Networks and Information Integration/DoD Chief Information Officer Memorandum', 'Assistant Secretary of Defense for Networks and Information Integration/DoD Chief Information Officer Memorandum', 'Assistant Secretary of Defense for Networks and Information Integration/DoD Chief Information Officer Memorandum', 'Assistant Secretary of Defense for Networks and Information Integration/DoD Chief Information Officer Memorandum', 'Assistant Secretary of Defense for Networks and Information Integration/DoD Chief Information Officer Memorandum', 'Chairman of the Joint Chiefs of Staff Instruction 5123.01H', 'Committee on National Security Systems Instruction 1010', 'Committee on National Security Systems Instruction 1253', 'Committee on National Security Systems Instruction 4004.1', 'Committee on National Security Systems Instruction 7000', 'Committee on National Security Systems Instruction Number 4009', 'Committee on National Security Systems Policy 11', 'Committee on National Security Systems Policy 15', 'Committee on National Security Systems Policy 22', 'Committee on National Security Systems Policy 300', 'Committee on National Security Systems Policy No. 12', 'Defense Security/Cybersecurity Authorization Working Group (DSAWG) Charter', 'Department of Defense Information Security Risk Management Charter', 'Deputy Secretary of Defense Memorandum', 'Directive-type Memorandum 08-060', 'Director', 'DoD 5200.08-R', 'DoD 5220.22-M', 'DoD 5220.22-R', 'DoD 5400.11-R', 'DoD 8580.02 Instruction', 'DoD Architecture Framework Version 2.02', 'DoD Chief Information Officer Memorandum', 'DoD Chief Information Officer Memorandum', 'Executive Order 12333', 'Joint Publication 3-12', 'National Institute of Standards and Technology Special Publication 800-114', 'National Institute of Standards and Technology Special Publication 800-126', 'National Institute of Standards and Technology Special Publication 800-137', 'National Institute of Standards and Technology Special Publication 800-147', 'National Institute of Standards and Technology Special Publication 800-30', 'National Institute of Standards and Technology Special Publication 800-34', 'National Institute of Standards and Technology Special Publication 800-37', 'National Institute of Standards and Technology Special Publication 800-39', 'National Institute of Standards and Technology Special Publication 800-53', 'National Institute of Standards and Technology Special Publication 800-53A', 'National Institute of Standards and Technology Special Publication 800-88', 'National Security Directive 42', 'National Security Presidential Directive-54/Homeland Security Presidential Directive-23', 'Office of Management and Budget Circular A-130', 'Office of the Chairman of the Joint Chiefs of Staff', 'Presidential Memorandum', 'Public Law 106-398', 'Public Law 106-65', 'Secretary of Defense Memorandum', 'Section 806 of the Ike Skelton National Defense Authorization Act for Fiscal Year', 'Title 10', 'Title 29', 'Title 32', 'Title 40', 'Title 44', 'Under Secretary of Defense for Acquisition', 'Unified Command Plan']",Sub-Reference
